question,file_party,n,p
Do you support or oppose a federal ban on the sale of assault-style guns and high-capacity magazines?,Other,1056,0.6065479609419874
Do you support or oppose a federal ban on the sale of assault-style guns and high-capacity magazines?,Republican,767,0.41170155662909286
Do you support or oppose a federal ban on the sale of assault-style guns and high-capacity magazines?,Democratic,1516,0.7722873153336729
"Do you support the creation of a national insurance program, in which every American would get insurance from a single government plan?",Other,387,0.5793413173652695
"Do you support the creation of a national insurance program, in which every American would get insurance from a single government plan?",Republican,229,0.23903966597077245
"Do you support the creation of a national insurance program, in which every American would get insurance from a single government plan?",Democratic,721,0.7931793179317932
Do you support or oppose the tax reform bill passed by Congress and signed by the president last year?,Other,282,0.3960674157303371
Do you support or oppose the tax reform bill passed by Congress and signed by the president last year?,Republican,894,0.7904509283819628
Do you support or oppose the tax reform bill passed by Congress and signed by the president last year?,Democratic,171,0.14214463840399003
Has discrimination against whites become as big a problem as discrimination toward blacks and other minorities?,Other,445,0.38594969644405897
Has discrimination against whites become as big a problem as discrimination toward blacks and other minorities?,Republican,592,0.5764362220058422
Has discrimination against whites become as big a problem as discrimination toward blacks and other minorities?,Democratic,377,0.2741818181818182
Are illegal immigrants living in the United States more likely than American citizens to commit serious crimes?,Other,179,0.21133412042502953
Are illegal immigrants living in the United States more likely than American citizens to commit serious crimes?,Republican,546,0.40929535232383807
Are illegal immigrants living in the United States more likely than American citizens to commit serious crimes?,Democratic,108,0.08077786088257292
